CODARTICULO;CODCATEGORIA;DESCRIPCION;Stock M�nimo;Stock M�ximo;Stock de Pedido;Pasillo;Estanteria;Casillero;Estado
1;1;LAMPARA H1-12V ;10;10;10;1;1;1;activo
2;1;LAMPARA H1-24V ;10;10;10;1;1;1;activo
3;1;LAMPARA H3-12V ;10;10;10;1;1;1;activo
4;1;LAMPARA H3-24V ;10;10;10;1;1;1;activo
5;1;LAMPARA H4-12V ;10;10;10;1;1;1;activo
6;1;LAMPARA H4-24V ;10;10;10;1;1;1;activo
7;1;LAMPARA H7-55W-12V HEL178555011;10;10;10;1;1;1;activo
8;1;LAMPARA H7-24V ;10;10;10;1;1;1;activo
9;1;LAMPARA 1,2W-12V ;10;10;10;1;1;1;activo
10;1;LAMPARA 1,2W-24V ;10;10;10;1;1;1;activo
11;1;LAMPARA 3W-12V ;10;10;10;1;1;1;activo
12;1;LAMPARA 3W-12V LED ;10;10;10;1;1;1;activo
13;1;LAMPARA 3W-24V OSR2841;10;10;10;1;1;1;activo
14;1;LAMPARA 3W-24V LED ;10;10;10;1;1;1;activo
15;1;LAMPARA 4W-12V ;10;10;10;1;1;1;activo
16;1;LAMPARA 4W-24V ;10;10;10;1;1;1;activo
17;1;LAMPARA 10W-12V 1 POLO ;10;10;10;1;1;1;activo
18;1;LAMPARA 10W-24V 1 POLO ;10;10;10;1;1;1;activo
19;1;LAMPARA 21W-12V 1 POLO ;10;10;10;1;1;1;activo
20;1;LAMPARA 21W-12V 1 POLO AMBAR ;10;10;10;1;1;1;activo
21;1;LAMPARA 21/5W-12V 2 POLO ;10;10;10;1;1;1;activo
22;1;LAMPARA 21W-24V 1 POLO NEO7511;10;10;10;1;1;1;activo
23;1;LAMPARA 21W-24V 1 POLO AMBAR ;10;10;10;1;1;1;activo
24;1;LAMPARA 21/5W-24V 2 POLO ;10;10;10;1;1;1;activo
25;1;FARO 206 AMBAR LED ;10;10;10;1;1;1;activo
26;1;FARO 206 ROJO LED ;10;10;10;1;1;1;activo
27;1;FARO 206 CRISTAL LED ;10;10;10;1;1;1;activo
28;1;FARO 302 AMBAR ;10;10;10;1;1;1;activo
29;1;FARO 307 AMBAR ;10;10;10;1;1;1;activo
30;1;FARO STOP 730 AMBAR ;10;10;10;1;1;1;activo
31;1;FARO STOP 730-10 LED AMBAR ;10;10;10;1;1;1;activo
32;1;FARO STOP 730 ROJO ;10;10;10;1;1;1;activo
33;1;FARO STOP 730-10 LED ROJO ;10;10;10;1;1;1;activo
34;1;FARO STOP 730 CRISTAL ;10;10;10;1;1;1;activo
35;1;FARO STOP 730-10 LED CRISTAL ;10;10;10;1;1;1;activo
36;1;FARO 935 AMBAR LED ;10;10;10;1;1;1;activo
37;1;FARO 935 ROJO LED ;10;10;10;1;1;1;activo
38;1;FARO 935 CRISTAL LED ;10;10;10;1;1;1;activo
39;1;FARO GIRO 306 AMBAR LED ;10;10;10;1;1;1;activo
40;1;FARO ANTINIEBLA 700 ROJO LED ;10;10;10;1;1;1;activo
41;1;FARO 301 AMBAR AP301REF;10;10;10;1;1;1;activo
42;1;FARO 630 AMBAR ;10;10;10;1;1;1;activo
43;1;FARO 630 ROJO ;10;10;10;1;1;1;activo
44;1;FARO 630 CRISTAL ;10;10;10;1;1;1;activo
45;1;FARO SALIDA EMERG 1030 AMBAR ;10;10;10;1;1;1;activo
46;1;FARO SALIDA EMERG 1030 ROJO ;10;10;10;1;1;1;activo
47;1;FARO SALIDA EMERG 1030 CRISTAL ;10;10;10;1;1;1;activo
48;1;FARO 550 AMBAR ;10;10;10;1;1;1;activo
49;1;FARO 550 ROJO ;10;10;10;1;1;1;activo
50;1;FARO 550 CRISTAL ;10;10;10;1;1;1;activo
51;1;FARO 950 AMBAR ;10;10;10;1;1;1;activo
52;1;FARO 950 ROJO ;10;10;10;1;1;1;activo
53;1;FARO 950 CRISTAL ;10;10;10;1;1;1;activo
54;1;FARO 930 AMBAR ;10;10;10;1;1;1;activo
55;1;FARO 930 ROJO ;10;10;10;1;1;1;activo
56;1;FARO 930 CRISTAL ;10;10;10;1;1;1;activo
57;1;ACRILICO FARO 400 AMBAR ;10;10;10;1;1;1;activo
58;1;ACRILICO FARO 400 ROJO ;10;10;10;1;1;1;activo
59;1;ACRILICO FARO 400 CRISTAL ;10;10;10;1;1;1;activo
60;1;ACRILICO FARO 400/1/2 AMBAR ;10;10;10;1;1;1;activo
61;1;ACRILICO FARO 400/1/2 ROJO ;10;10;10;1;1;1;activo
62;1;ACRILICO FARO 400/1/2 CRISTAL ;10;10;10;1;1;1;activo
63;1;FARO 400 AMBAR ;10;10;10;1;1;1;activo
64;1;FARO 400 ROJO ;10;10;10;1;1;1;activo
65;1;FARO 400 CRISTAL ;10;10;10;1;1;1;activo
66;1;FARO 400/1/2 AMBAR ;10;10;10;1;1;1;activo
67;1;FARO 400/1/2 ROJO ;10;10;10;1;1;1;activo
68;1;FARO 400/1/2 CRISTAL ;10;10;10;1;1;1;activo
69;1;OPTICA 5 3/4 PLANA C/LUZ ;10;10;10;1;1;1;activo
70;1;"OPTICA 7"" PLANA C/LUZ AMG23.08";10;10;10;1;1;1;activo
71;1;OPTICA 5 3/4 C/LUZ  ;10;10;10;1;1;1;activo
72;1;"OPTICA 7"" C/LUZ  ";10;10;10;1;1;1;activo
73;1;OPTICA 5 3/4 C/RETEN Y LUZ AMG23.09;10;10;10;1;1;1;activo
74;1;"OPTICA 7"" C/RETEN Y LUZ ";10;10;10;1;1;1;activo
75;1;OPTICA MB 1215 C/RETEN ALTA H1 ;10;10;10;1;1;1;activo
76;1;OPTICA MB 1215 C/ARO BAJA H4 VIC707-AMG22.05;10;10;10;1;1;1;activo
77;1;FUSIBLE MINI 3AMP ;10;10;10;1;1;1;activo
78;1;FUSIBLE MINI 5AMP ;10;10;10;1;1;1;activo
79;1;FUSIBLE MINI 7,5AMP ;10;10;10;1;1;1;activo
80;1;FUSIBLE MINI 10AMP ;10;10;10;1;1;1;activo
81;1;FUSIBLE MINI 15AMP ;10;10;10;1;1;1;activo
82;1;FUSIBLE MINI 20AMP ;10;10;10;1;1;1;activo
83;1;FUSIBLE MINI 25AMP ;10;10;10;1;1;1;activo
84;1;FUSIBLE MINI 30AMP ;10;10;10;1;1;1;activo
85;1;FUSIBLE 3AMP ;10;10;10;1;1;1;activo
86;1;FUSIBLE 5AMP ;10;10;10;1;1;1;activo
87;1;FUSIBLE 7,5AMP ;10;10;10;1;1;1;activo
88;1;FUSIBLE 10AMP ;10;10;10;1;1;1;activo
89;1;FUSIBLE 15AMP ;10;10;10;1;1;1;activo
90;1;FUSIBLE 20AMP ;10;10;10;1;1;1;activo
91;1;FUSIBLE 25AMP ;10;10;10;1;1;1;activo
92;1;FUSIBLE 30AMP ;10;10;10;1;1;1;activo
93;1;FUSIBLE MINI-MEGA 40AMP ;10;10;10;1;1;1;activo
94;1;FUSIBLE MINI-MEGA 60AMP ;10;10;10;1;1;1;activo
95;1;FUSIBLE MINI-MEGA 100AMP ;10;10;10;1;1;1;activo
96;1;FUSIBLE MINI-MEGA 150AMP ;10;10;10;1;1;1;activo
97;1;FUSIBLE MAXI-MEGA 30AMP ;10;10;10;1;1;1;activo
98;1;FUSIBLE MAXI-MEGA 40AMP ;10;10;10;1;1;1;activo
99;1;FUSIBLE MAXI-MEGA 60AMP ;10;10;10;1;1;1;activo
100;1;FUSIBLE MAXI-MEGA 80AMP ;10;10;10;1;1;1;activo
101;1;FUSIBLE MAXI-MEGA 100AMP ;10;10;10;1;1;1;activo
102;1;FUSIBLE MEGA 100AMP ;10;10;10;1;1;1;activo
103;1;FUSIBLE MEGA 150AMP ;10;10;10;1;1;1;activo
104;1;FUSIBLE MEGA 250AMP ;10;10;10;1;1;1;activo
105;1;FUSIBLE MEGA 500AMP ;10;10;10;1;1;1;activo
106;1;MINI RELAY 12V 20AMP 5PTAS DNI0134 - RALUX 8752;10;10;10;1;1;1;activo
107;1;MINI RELAY 24V 5/10AMP 5PTA RALUX 8738;10;10;10;1;1;1;activo
108;1;MINI RELAY INVERSOR 24V 5PTA RALUX 8733;10;10;10;1;1;1;activo
109;1;RELAY 12V 50AMP ;10;10;10;1;1;1;activo
110;1;RELAY 12V 70AMP ;10;10;10;1;1;1;activo
111;1;RELAY 24V 25AMP 5PTA DNI0214;10;10;10;1;1;1;activo
112;1;RELAY INVER 24V 10/20AMP ;10;10;10;1;1;1;activo
113;1;RELAY INVER 24V 30/40AMP 5PTA RA1524;10;10;10;1;1;1;activo
114;1;DESTELLADOR BALIZA 24V 4 PATAS RALUX 9047 - DNI0841;10;10;10;1;1;1;activo
115;1;DESTELLADOR BALIZA 24V 5 PATAS ;10;10;10;1;1;1;activo
116;1;PORTA LAMPARA 1 POLO ;10;10;10;1;1;1;activo
117;1;PORTA LAMPARA 2 POLO ;10;10;10;1;1;1;activo
118;1;PORTA LAMPARA 3W/MUELITA ;10;10;10;1;1;1;activo
119;1;PORTA LAMPARA H1 ;10;10;10;1;1;1;activo
120;1;PORTA LAMPARA H3 ;10;10;10;1;1;1;activo
121;1;PORTA LAMPARA H7 ;10;10;10;1;1;1;activo
122;1;CHICOTE PORTA LAMPARA 1 POLO ;10;10;10;1;1;1;activo
123;1;CHICOTE PORTA LAMPARA 2 POLO ;10;10;10;1;1;1;activo
124;1;FICHA PORTA LAMP H4/RELAY 3 P VACFPTR;10;10;10;1;1;1;activo
125;1;FICHA PORTA RELAY MINI 4 PATAS ;10;10;10;1;1;1;activo
126;1;FICHA PORTA RELAY MINI 5 PATAS ;10;10;10;1;1;1;activo
127;1;FICHA PORTA RELAY 4 PATAS ;10;10;10;1;1;1;activo
128;1;FICHA PORTA RELAY 5 PATAS VAC1018;10;10;10;1;1;1;activo
129;1;FICHA PORTA FUSIBLE AEREO ;10;10;10;1;1;1;activo
130;1;FICHA 1 VIA M TERMINAL H ;10;10;10;1;1;1;activo
131;1;FICHA 1 VIA H TERMINAL M ;10;10;10;1;1;1;activo
132;1;FICHA 2 VIAS M TERMINAL H ;10;10;10;1;1;1;activo
133;1;FICHA 2 VIAS H TERMINAL M ;10;10;10;1;1;1;activo
134;1;FICHA 2 VIAS T M TERMINAL H ;10;10;10;1;1;1;activo
135;1;FICHA 2 VIAS T H TERMINAL M ;10;10;10;1;1;1;activo
136;1;FICHA 4 VIAS M TERMINAL H ;10;10;10;1;1;1;activo
137;1;FICHA 4 VIAS H TERMINAL M ;10;10;10;1;1;1;activo
138;1;FICHA 6 VIAS M TERMINAL H ;10;10;10;1;1;1;activo
139;1;FICHA 6 VIAS H TERMINAL M ;10;10;10;1;1;1;activo
140;1;FICHA 8 VIAS M TERMINAL H ;10;10;10;1;1;1;activo
141;1;FICHA 8 VIAS H TERMINAL M ;10;10;10;1;1;1;activo
142;1;BORNE BATERIA NEGATIVO  ;10;10;10;1;1;1;activo
143;1;BORNE BATERIA POSITIVO ;10;10;10;1;1;1;activo
144;1;BOCINA 12V ;10;10;10;1;1;1;activo
145;1;BOCINA 24V ;10;10;10;1;1;1;activo
146;1;BOCINA MARCHA TRAS 12V DNI4001;10;10;10;1;1;1;activo
147;1;BOCINA MARCHA TRAS 24V DNI4002;10;10;10;1;1;1;activo
148;1;ROLLO TIRA LED 5MTS 5050-60 ;10;10;10;1;1;1;activo
149;1;PALANCA DE GIROS/LUCES VW EXI13614;10;10;10;1;1;1;activo
150;1;PALANCA GIROS/LUCES AGRALE WOL0605201;10;10;10;1;1;1;activo
151;1;CABLE TIPO TALLER 2X1MM ;10;10;10;1;1;1;activo
